"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"BOB CRATCHIT","MASTER PETER",8.0,"Master Peter is Bob Cratchit's son",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"3d175ad1f0014cd4871eff4e86db9f88","30",26,6,32
"BOB CRATCHIT","MISS BELINDA",8.0,"Miss Belinda is Bob Cratchit's daughter",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"c8e706fbdc90420d952deed03c4f04b4","31",26,6,32
"BOB CRATCHIT","MARTHA",8.0,"Martha is Bob Cratchit's daughter",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"cf6115e69d6649cc99ef2bd11854ccfb","32",26,6,32
"BOB CRATCHIT","CRATCHIT FAMILY",9.0,"Bob Cratchit is a member of the Cratchit family",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"9ed7e3d187b94ab0a90830b17d66615e","33",26,6,32
"BOB CRATCHIT","PETER CRATCHIT",9.0,"Peter Cratchit is Bob Cratchit's son",['d4e73f42abc059b1a9108741c4d88216'],"b4c7432f712849d7aba9dccbb77471ef","34",26,4,30
"BOB CRATCHIT","MARTHA CRATCHIT",9.0,"Martha Cratchit is Bob Cratchit's daughter",['d4e73f42abc059b1a9108741c4d88216'],"434e752b992c4e6a812557529315c5b9","35",26,4,30
"BOB CRATCHIT","PETER",8.0,"Bob Cratchit is Peter's father",['31162003185eeb0ce0f4b4f2031e01c7'],"df79a27b9a4f42fd839c90bb8a79ad91","36",26,6,32
"BOB CRATCHIT","MR. SCROOGE'S NEPHEW",7.0,"Mr. Scrooge's nephew offers help and expresses sympathy to Bob Cratchit",['31162003185eeb0ce0f4b4f2031e01c7'],"8f140fd7126f47b6b00307b0181509f9","37",26,1,27
"BOB CRATCHIT","BOB CRATCHIT'S HOUSE",9.0,"Bob Cratchit lives in this house with his family",['31162003185eeb0ce0f4b4f2031e01c7'],"40450f2c91944a81944621b94f190b49","38",26,1,27
"BOB CRATCHIT","CHRISTMAS",8.0,"The events in Bob Cratchit's household take place during Christmas",['31162003185eeb0ce0f4b4f2031e01c7'],"5b9fa6a959294dc29c8420b2d7d3096f","39",26,19,45
"BOB CRATCHIT","CHILDREN",9.0,"The children are part of Bob Cratchit's family",['31162003185eeb0ce0f4b4f2031e01c7'],"b84d71ed9c3b45819eb3205fd28e13a0","40",26,5,31
"BOB CRATCHIT","BOB CRATCHIT'S WIFE",9.0,"Bob Cratchit's wife is another term for Mrs. Cratchit",['31162003185eeb0ce0f4b4f2031e01c7'],"b0b464bc92a541e48547fe9738378dab","41",26,1,27
"BOB CRATCHIT","ROBERT",9.0,"Robert is another name for Bob Cratchit",['31162003185eeb0ce0f4b4f2031e01c7'],"44c65dda6fb7472dae36f6eea720ab47","42",26,1,27
"BOB CRATCHIT","FIRE",8.0,"The Cratchit family gathers around the fire",['31162003185eeb0ce0f4b4f2031e01c7'],"5d97ff82691c4482973d73d1860e4757","43",26,1,27
"BOB CRATCHIT","SUNDAY",1.0,"Bob Cratchit promises to visit Tiny Tim's grave on Sundays",['31162003185eeb0ce0f4b4f2031e01c7'],"2567445079794d1e84f17abc48776002","44",26,1,27
"BOB CRATCHIT","MR. SCROOGE",9.0,"Mr. Scrooge is Bob Cratchit's employer and decides to raise his salary and assist his family",['aacc244b408aedd1b59271b08a207bf8'],"392be891f8b649fabdc20e7bf549f669","45",26,5,31
"PETER CRATCHIT","MRS. CRATCHIT",16.0,"""Mrs. Cratchit and Peter Cratchit are mother and son, and Peter helps with tasks like mashing potatoes""",['5c23d6ea344fb1e7d1da42af94e77372'],"0111777c4e9e4260ab2e5ddea7cbcf58","46",4,16,20
"PETER CRATCHIT","TINY TIM",14.0,"""Peter Cratchit and Tiny Tim are brothers, and Peter helps take care of Tiny Tim""",['5c23d6ea344fb1e7d1da42af94e77372'],"785f7f32471c439e89601ab81c828d1d","47",4,16,20
"PETER CRATCHIT","MARTHA CRATCHIT",1.0,"Peter Cratchit and Martha Cratchit are siblings",['d4e73f42abc059b1a9108741c4d88216'],"6768339b54084020aec27adcef8994ff","48",4,4,8
"FRED","SCROOGE",14.0,"""Fred, who is Scrooge's nephew, invited Scrooge to dinner. Fred is known for hosting a game and expressing admiration and merriment towards his uncle, Scrooge.""",['830dc983cda4e0f65be2cd7bda53af2d' 'c5d03b00e276c74a61703fc395d9986e'],"f09f381c319f4251847d1a4bb8cdcac1","49",6,116,122
"FRED","SCROOGE'S NEPHEW",9.0,"Fred is Scrooge's nephew who laughs heartily and discusses Scrooge's attitude towards Christmas",['82c0a321727c344d224f3b8eecb7414f'],"eec11f567e7f4943b157c3a657eb9a46","50",6,6,12
"FRED","SCROOGE'S NIECE",7.0,"Fred and Scrooge's niece discuss Scrooge's wealth and behavior",['82c0a321727c344d224f3b8eecb7414f'],"efef117839b64ce9adf614a461d41ba6","51",6,6,12
"FRED","MR. SCROOGE",8.0,"Mr. Scrooge is Fred's uncle and is warmly welcomed to dinner",['aacc244b408aedd1b59271b08a207bf8'],"2171091ada0942d8ae7944df11659f6e","52",6,5,11
"FRED","TOPPER",5.0,"Topper is a guest at Fred's dinner party",['aacc244b408aedd1b59271b08a207bf8'],"bcfdc48e5f044e1d84c5d217c1992d4b","53",6,5,11
"FRED","PLUMP SISTER",1.0,"The plump sister is a guest at Fred's dinner party",['aacc244b408aedd1b59271b08a207bf8'],"b232fb0f2ac14790b931d1e7fcddd8ad","54",6,2,8
"GHOST OF CHRISTMAS PAST","SCROOGE",52.0,"""The Ghost of Christmas Past visits Scrooge to show him scenes from his earlier life. This spectral figure takes Scrooge on a journey through his own past, revealing pivotal moments and memories that have shaped who he is. Through these scenes, the Ghost of Christmas Past aims to provide Scrooge with insight and reflection on his life choices and their consequences.""","['049179e7a263fe875bc7d96cb467d2df' 'a5542daff1f84544382712afa48d5013'
 'c71d3978e7161b729eb972b930f85473' 'e1c29aeda4d9b63f6e9026ca40c75eef']","1c16b22e18d3483b8d41b284754274e2","55",1,116,117
"GHOST OF CHRISTMAS PRESENT","SCROOGE",76.0,"""Scrooge is guided by the Ghost of Christmas Present, who visits him to show the current state of Christmas. The Ghost of Christmas Present accompanies Scrooge and shows him various scenes from the present, including the lives of the poor and the impact of his actions on the world. During their journey, Scrooge recalls seeing people celebrating Christmas. The Ghost of Christmas Present invites Scrooge to know him better, providing a deeper understanding of the current state of the world and the true spirit of Christmas.""","['166b41d31c21bdff77c782c019c33814' '2c2dc4d6383dc21e5c198e42cbb99426'
 'c71d3978e7161b729eb972b930f85473' 'd1ffbd0a1d292732b8530b80890ce309'
 'e1c29aeda4d9b63f6e9026ca40c75eef' 'e92f3fa91714308781a63c896cfeb313']","0080f96708cd4054a5f0986ca86889f4","56",7,116,123
"GHOST OF CHRISTMAS PRESENT","PLENTY'S HORN",1.0,"The Ghost of Christmas Present's torch resembles Plenty's Horn",['166b41d31c21bdff77c782c019c33814'],"e683130322ac47708a852a5e51abb7c5","57",7,1,8
"GHOST OF CHRISTMAS PRESENT","SPIRIT",8.0,"The Ghost of Christmas Present is a specific form of the Spirit",['e92f3fa91714308781a63c896cfeb313'],"71a0a8c1beb64da08124205e9a803d98","58",7,18,25
"GHOST OF CHRISTMAS PRESENT","BOB CRATCHIT'S DWELLING",7.0,"The Ghost of Christmas Present blesses Bob Cratchit's dwelling with the sprinklings of its torch",['2c2dc4d6383dc21e5c198e42cbb99426'],"f84314943bee4c859c9a62f268c9c216","59",7,5,12
"GHOST OF CHRISTMAS PRESENT","BAKER'S SHOPS",6.0,"The Ghost of Christmas Present observes people carrying their dinners to the baker's shops and restores good humor among them",['2c2dc4d6383dc21e5c198e42cbb99426'],"ba481175ee1d4329bf07757a30abd3a1","60",7,2,9
"GHOST OF CHRISTMAS PRESENT","SUBURBS OF THE TOWN",6.0,"The Ghost of Christmas Present takes Scrooge to the suburbs of the town to observe the lives of the poor",['2c2dc4d6383dc21e5c198e42cbb99426'],"8d8da35190bf43c5878fa38f3eb4f3d2","61",7,2,9
"GHOST OF CHRISTMAS YET TO COME","SCROOGE",43.0,"""The Ghost of Christmas Yet to Come shows Scrooge visions of the future, presenting a grim outlook if he does not change his ways.""","['45b24611b322e5db19f24f40131624e6' 'c71d3978e7161b729eb972b930f85473'
 'db82f001863c7ecf263a682718181aba']","2fb7e14a3f124526bd7b24867fc18e81","62",1,116,117
"JOE","SCROOGE",9.0,"Joe and Scrooge are involved in a scene where Joe discusses bed-curtains. This interaction leaves Scrooge horrified by Joe's actions.",['830dc983cda4e0f65be2cd7bda53af2d' 'a50b8481d67f48139b84139edc701a3c'],"5c13c7d61e6c4bfe839f21e7ad3530a7","63",2,116,118
"JOE","MRS. DILBER",7.0,"Joe appraises and buys items brought by Mrs. Dilber",['a50b8481d67f48139b84139edc701a3c'],"a621663edba64d99b7e50f1e53f32ee7","64",2,6,8
"EBENEZER SCROOGE","LONDON",7.0,"Ebenezer Scrooge's house is located in London",['a5a36092f82dc70e6af7cc096f793c31'],"42be4e140061482ea509dd3e26189480","65",6,3,9
"EBENEZER SCROOGE","CHRISTMAS EVE",1.0,"The events described in the text take place on Christmas Eve",['a5a36092f82dc70e6af7cc096f793c31'],"4da4ef951ff340f1a3dd679de4be3341","66",6,8,14
"EBENEZER SCROOGE","JACOB MARLEY",17.0,"""Ebenezer Scrooge remembers Jacob Marley's face vividly, even though Marley has been dead for seven years. Jacob Marley was the business partner of Ebenezer Scrooge and is now visiting him as a ghost.""",['a5a36092f82dc70e6af7cc096f793c31' 'b9bf87a171faa989022625f59a0d6cab'],"2f05fcce857e4a499ca4e89a3cefbcb3","67",6,4,10
"EBENEZER SCROOGE","THE GHOST",9.0,"""The Ghost, who is Jacob Marley, is visiting Ebenezer Scrooge to warn him""",['b9bf87a171faa989022625f59a0d6cab'],"b3aeb7ae009a4f52ae3ae4586e32fe11","68",6,4,10
"EBENEZER SCROOGE","UNITED STATES",1.0,"Ebenezer Scrooge is mentioned in the context of a financial security that would become a United States security",['bfd1f26b372f645db46a2f726cc2145a'],"089b9b9841714b8da043777e2cda3767","69",6,3,9
"EBENEZER SCROOGE","SCROOGE",20.0,"Scrooge realizes that the name on the grave is his own",['db82f001863c7ecf263a682718181aba'],"38f1e44579d0437dac1203c34678d3c3","70",6,116,122
"DICK WILKINS","FEZZIWIG",8.0,"Fezziwig was Dick Wilkins' employer and mentor during his apprenticeship",['913ae1c38936586e72223ab050f55270'],"1ca24718a96b47f3a8855550506c4b41","71",2,18,20
"DICK WILKINS","CHRISTMAS EVE",7.0,"Dick Wilkins participates in the Christmas Eve celebration hosted by Fezziwig",['913ae1c38936586e72223ab050f55270'],"9c980dfe3cab44b7a83408405edab0b6","72",2,8,10
"BELLE","SCROOGE",6.0,"Belle's husband mentions seeing Scrooge alone in his officeScrooge is mentioned in a conversation between Belle and her husband",['ae4387f9ec8ef5335c4fbf6fd3f7d9b4'],"f23484b1b45d44c3b7847e1906dddd37","73",2,116,118
"BELLE","FATHER",7.0,"Belle is the daughter of the father",['ae4387f9ec8ef5335c4fbf6fd3f7d9b4'],"929f30875e1744b49e7b416eaf5a790c","74",2,3,5
"CAROLINE","CAROLINE'S HUSBAND",7.0,"Caroline and her husband discuss the death of the merciless creditor and its implications",['5e7ec9ebf31abc571127892d260fbe42'],"4920fda031804ce8a1073ace8e061ed6","75",3,2,5
"CAROLINE","DEAD MAN",6.0,"Caroline feels a mix of hope and relief upon hearing about the death of the merciless creditor",['5e7ec9ebf31abc571127892d260fbe42'],"4b8aa4587c7344adac2cbfa69d5e40fa","76",3,3,6
"CAROLINE","SCROOGE",6.0,"""Caroline feels relief at the death of a merciless creditor, which Scrooge witnesses""",['31162003185eeb0ce0f4b4f2031e01c7'],"52701d941dfb45359693baae8f267056","77",3,116,119
"MRS. CRATCHIT","SCROOGE",16.0,"Mrs. Cratchit is Bob Cratchit's wife and holds a negative opinion of Scrooge.",['2c2dc4d6383dc21e5c198e42cbb99426' 'd4e73f42abc059b1a9108741c4d88216'],"31499ee6277a4d71b19cb5b6be554c69","78",16,116,132
"MRS. CRATCHIT","BOB CRATCHIT'S DWELLING",7.0,"Mrs. Cratchit lives in Bob Cratchit's dwelling",['2c2dc4d6383dc21e5c198e42cbb99426'],"d99eabad5dfd47278692569d2a9395b1","79",16,5,21
"MRS. CRATCHIT","CHRISTMAS DAY",12.0,"""Mrs. Cratchit and her family celebrate Christmas Day. Despite her reservations, Mrs. Cratchit reluctantly drinks to Scrooge's health on this festive occasion.""",['2c2dc4d6383dc21e5c198e42cbb99426' 'd4e73f42abc059b1a9108741c4d88216'],"d53f15cb7f7845de91cc44ad44ff9f6e","80",16,9,25
"MRS. CRATCHIT","BELINDA CRATCHIT",16.0,"""Mrs. Cratchit and Belinda Cratchit are mother and daughter, and Belinda assists her mother with household chores""",['5c23d6ea344fb1e7d1da42af94e77372'],"23becf8c6fca4f47a53ec4883d4bf63f","81",16,2,18
"MRS. CRATCHIT","MARTHA CRATCHIT",16.0,"""Mrs. Cratchit and Martha Cratchit are mother and daughter, and Mrs. Cratchit warmly welcomes Martha when she arrives""",['5c23d6ea344fb1e7d1da42af94e77372'],"d0ffa3bcd1234258953ff4956d19f561","82",16,4,20
"MRS. CRATCHIT","CRATCHIT FAMILY",9.0,"Mrs. Cratchit is a member of the Cratchit family",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"ac41b77ba33c4c84877eb425aba03aa1","83",16,6,22
"MRS. CRATCHIT","MASTER PETER",8.0,"Master Peter is Mrs. Cratchit's son",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"5d3184dabfd647a5a7e565f72c60ff24","84",16,6,22
"MRS. CRATCHIT","MISS BELINDA",8.0,"Miss Belinda is Mrs. Cratchit's daughter",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"0ec262c2cfef4dd581f3655e5e496e31","85",16,6,22
"MRS. CRATCHIT","MARTHA",8.0,"Martha is Mrs. Cratchit's daughter",['49d69adfdaf6f3f17e1e03fc4c6f561f'],"100c2fccd7f74d9281707082f062ba72","86",16,6,22
"MRS. CRATCHIT","TINY TIM",17.0,"Tiny Tim is Mrs. Cratchit's son",['31162003185eeb0ce0f4b4f2031e01c7' 'd4e73f42abc059b1a9108741c4d88216'],"378fc7636eeb4aabbfd40995a6960c64","87",16,16,32
"MRS. CRATCHIT","PETER",20.0,"Mrs. Cratchit is Peter's mother. She speaks to Peter about his future.",['31162003185eeb0ce0f4b4f2031e01c7' 'db82f001863c7ecf263a682718181aba'],"80a04aa18cd649d584292f23b10c0727","88",16,6,22
"MRS. CRATCHIT","CHRISTMAS",8.0,"Mrs. Cratchit is preparing for Christmas",['31162003185eeb0ce0f4b4f2031e01c7'],"4e9ca18ccc1d4527a3bc035d07f5e162","89",16,19,35
"MRS. CRATCHIT","CHILDREN",9.0,"The children are part of Mrs. Cratchit's family",['31162003185eeb0ce0f4b4f2031e01c7'],"5564257e89f1428486a64fcf52f49490","90",16,5,21
"MRS. CRATCHIT","BOB",18.0,"Mrs. Cratchit is Bob's wife and interacts with him",['db82f001863c7ecf263a682718181aba'],"83c76fbd2a004d90a5b0a6736ffed61d","91",16,3,19
"BELINDA CRATCHIT","TINY TIM",14.0,"""Belinda Cratchit and Tiny Tim are siblings, and Belinda helps take care of Tiny Tim""",['5c23d6ea344fb1e7d1da42af94e77372'],"d9779c41e3c74fe0b26e23822a4b995b","92",2,16,18
"MARTHA CRATCHIT","TINY TIM",14.0,"""Martha Cratchit and Tiny Tim are siblings, and Martha helps take care of Tiny Tim""",['5c23d6ea344fb1e7d1da42af94e77372'],"9d7a563b3b2d405092c31f1fe08cff77","93",4,16,20
"MRS. DILBER","OLD JOE",6.0,"Mrs. Dilber brings a bundle to Old Joe's shop",['41d84d1d139c9c96c200cd2e537dcd0e'],"bd43f3d439a54781bd4b721a9a269b92","94",6,8,14
"MRS. DILBER","LAUNDRESS",5.0,"Mrs. Dilber and the laundress meet at Old Joe's shop",['41d84d1d139c9c96c200cd2e537dcd0e'],"adc0f95733e74351a891c4dadf650a52","95",6,3,9
"MRS. DILBER","UNDERTAKER'S MAN",5.0,"Mrs. Dilber and the undertaker's man meet at Old Joe's shop",['41d84d1d139c9c96c200cd2e537dcd0e'],"225105a7be14447cb03186bd40756059","96",6,3,9
"MRS. DILBER","SCROOGE",7.0,"Scrooge is horrified by Mrs. Dilber's actions",['a50b8481d67f48139b84139edc701a3c'],"efce8a9d61254447a26aee99e53f0398","97",6,116,122
"MRS. DILBER","UNHAPPY MAN",6.0,"Mrs. Dilber took items from the unhappy man's belongings",['a50b8481d67f48139b84139edc701a3c'],"4a75a9f0b18a48bea9c0601c0fc395c4","98",6,4,10
"FAN","SCROOGE",9.0,"Fan is Scrooge's younger sister who brings him home from school",['94a3a88e86bbbaa5704fa5cbcc1dd498'],"e19287afe00a431f9a593a4827d1b448","99",1,116,117
"MRS. FEZZIWIG","FEZZIWIG",22.0,"""Fezziwig and Mrs. Fezziwig are married and both participate in the Christmas Eve festivities. They are partners in dancing and in life, hosting the domestic ball together. Fezziwig and Mrs. Fezziwig danced together, showcasing their close partnership and shared joy during the celebrations.""","['830dc983cda4e0f65be2cd7bda53af2d' '913ae1c38936586e72223ab050f55270'
 'a5542daff1f84544382712afa48d5013']","f2c06f3a0c704296bf3353b91ee8af47","100",3,18,21
"MRS. FEZZIWIG","CHRISTMAS EVE",7.0,"Mrs. Fezziwig participates in the Christmas Eve celebration hosted by Fezziwig",['913ae1c38936586e72223ab050f55270'],"f512103ed4624accac6cbbf90d7d250a","101",3,8,11
"MRS. FEZZIWIG","DOMESTIC BALL",1.0,"Mrs. Fezziwig co-hosts the domestic ball with Fezziwig",['a5542daff1f84544382712afa48d5013'],"2325dafe50d1435cbee8ebcaa69688df","102",3,2,5
"UNITED STATES","PROJECT GUTENBERG LITERARY ARCHIVE FOUNDATION",7.0,"The Project Gutenberg Literary Archive Foundation complies with laws regulating charities and charitable donations in all 50 states of the United States",['2a1c4af9f9c41823c64e689c2b4b45e9'],"469aeef98cd1421fa123277b93d7b83a","103",3,6,9
"FEZZIWIG","SCROOGE",14.0,"Fezziwig was Scrooge's employer during his apprenticeship. Scrooge reflects on Fezziwig's kindness and the impact it had on him and others.",['94a3a88e86bbbaa5704fa5cbcc1dd498' 'a5542daff1f84544382712afa48d5013'],"2fb66f9a0de6406d83b61742a3b52cd6","104",18,116,134
"FEZZIWIG","WAREHOUSE",9.0,"""Fezziwig, a character known for his jovial and generous nature, worked at the warehouse where Scrooge was apprenticed. Demonstrating his festive spirit, Fezziwig would transform the warehouse into a ballroom for the Christmas Eve celebration, creating a memorable and joyous occasion for all involved.""",['913ae1c38936586e72223ab050f55270' '94a3a88e86bbbaa5704fa5cbcc1dd498'],"b0e6cfd979ea48b997019b059999d3c2","105",18,2,20
