"id","name","type","description","human_readable_id","graph_embedding","text_unit_ids","description_embedding"
"e1fd0e904a53409aada44442f23a51cb","MR. FEZZIWIG","PERSON","""Mr. Fezziwig is a character in A Christmas Carol, known for being a kind-hearted, jovial old merchant""",10,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.02058691  0.00535149 -0.07982408 ... -0.03696789  0.03504202
  0.01437763]"
"de988724cfdf45cebfba3b13c43ceede","FRED","PERSON","""Fred is a character in A Christmas Carol, and the nephew of Ebenezer Scrooge. He welcomes Scrooge warmly to dinner and hosts a game, expressing admiration and merriment towards his uncle. Fred laughs heartily and discusses Scrooge's attitude towards Christmas and his wealth, showcasing his cheerful and kind-hearted nature.""",11,"","['82c0a321727c344d224f3b8eecb7414f' '830dc983cda4e0f65be2cd7bda53af2d'
 'aacc244b408aedd1b59271b08a207bf8' 'c5d03b00e276c74a61703fc395d9986e'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[-0.02446696 -0.01167402 -0.0527631  ... -0.040828    0.04965501
  0.03438802]"
"96aad7cb4b7d40e9b7e13b94a67af206","GHOST OF CHRISTMAS PAST","PERSON","""The Ghost of Christmas Past is a character in A Christmas Carol. This supernatural entity is one of the spirits that visits Ebenezer Scrooge, showing him scenes from his own past. The Ghost of Christmas Past reveals various moments from Scrooge's earlier life, including his interactions with a young girl, to help him reflect on his actions and choices.""",12,"","['049179e7a263fe875bc7d96cb467d2df' 'a5542daff1f84544382712afa48d5013'
 'c71d3978e7161b729eb972b930f85473' 'e1c29aeda4d9b63f6e9026ca40c75eef'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.01097824  0.01086225 -0.0169922  ... -0.01925396  0.05265842
  0.01848844]"
"c9632a35146940c2a86167c7726d35e9","GHOST OF CHRISTMAS PRESENT","PERSON","""The Ghost of Christmas Present is a character in A Christmas Carol, known for being kind, generous, and hearty. This jolly giant is one of the spirits that visits Scrooge, showing him the current state of the world and the impact of his actions. As a specific manifestation of the Spirit, the Ghost of Christmas Present reveals the current joys and hardships of Christmas, including scenes of people celebrating the holiday. Notably, the spirit visits Bob Cratchit's home and blesses it, further emphasizing its kind and benevolent nature. Through these supernatural encounters, the Ghost of Christmas Present aims to enlighten Scrooge about the present realities and the consequences of his behavior.""",13,"","['166b41d31c21bdff77c782c019c33814' '2c2dc4d6383dc21e5c198e42cbb99426'
 '5c23d6ea344fb1e7d1da42af94e77372' 'c71d3978e7161b729eb972b930f85473'
 'd1ffbd0a1d292732b8530b80890ce309' 'e1c29aeda4d9b63f6e9026ca40c75eef'
 'e92f3fa91714308781a63c896cfeb313' 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.00012467  0.00969467 -0.03184144 ... -0.01937686  0.04314565
  0.03755593]"
"9646481f66ce4fd2b08c2eddda42fc82","GHOST OF CHRISTMAS YET TO COME","PERSON","""The Ghost of Christmas Yet to Come is a solemn Phantom and a character in A Christmas Carol. This spirit is one of the entities that visits Scrooge, showing him a grim and foreboding future if he does not change his ways. The Ghost of Christmas Yet to Come reveals shadows of things which may happen, presenting Scrooge with visions of the future to encourage him to alter his current path.""",14,"","['45b24611b322e5db19f24f40131624e6' 'c71d3978e7161b729eb972b930f85473'
 'db82f001863c7ecf263a682718181aba' 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[-0.00799186  0.00273494 -0.0404986  ...  0.00862311  0.05378567
  0.01495408]"
"d91a266f766b4737a06b0fda588ba40b","GHOST OF JACOB MARLEY","PERSON","""The Ghost of Jacob Marley is a character in A Christmas Carol, and the spectre of Scrooge's former business partner""",15,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[-0.01538542  0.01974845 -0.01003278 ... -0.02744663  0.02899939
  0.05270628]"
"bc0e3f075a4c4ebbb7c7b152b65a5625","JOE","PERSON","""Joe is a character in A Christmas Carol, known as a marine-store dealer and receiver of stolen goods. He is an old man who appraises and buys items from others. Additionally, Joe is involved in conversations about bed-curtains, further highlighting his role in the story.""",16,"","['830dc983cda4e0f65be2cd7bda53af2d' 'a50b8481d67f48139b84139edc701a3c'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.00690479  0.02661118 -0.06279834 ... -0.03704397  0.01769038
  0.02252878]"
"254770028d7a4fa9877da4ba0ad5ad21","EBENEZER SCROOGE","PERSON","""Ebenezer Scrooge is a character in A Christmas Carol, known for being a grasping, covetous old man and the surviving partner of the firm of Scrooge and Marley. He is deeply troubled by the apparition of the Ghost, with whom he interacts during the story. Scrooge is also mentioned in a financial context, highlighting his association with money and business. Additionally, his name appears on a neglected grave that he sees in a vision, symbolizing the lonely and unfulfilled life he leads.""",17,"","['a5a36092f82dc70e6af7cc096f793c31' 'b9bf87a171faa989022625f59a0d6cab'
 'bfd1f26b372f645db46a2f726cc2145a' 'db82f001863c7ecf263a682718181aba'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.00589025  0.02014024  0.01974364 ... -0.0414951   0.04199086
  0.03906588]"
"4a67211867e5464ba45126315a122a8a","MR. TOPPER","PERSON","""Mr. Topper is a character in A Christmas Carol, known as a bachelor""",18,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.01886252  0.01409065 -0.04589525 ... -0.03547528  0.04137203
  0.03618573]"
"04dbbb2283b845baaeac0eaf0c34c9da","DICK WILKINS","PERSON","Dick Wilkins is a character in A Christmas Carol. He is a fellow apprentice of Ebenezer Scrooge and was very much attached to him.",19,"",['913ae1c38936586e72223ab050f55270' 'f80de7a23de0088b7dbc1aa1a09e2d6e'],"[-0.00065238  0.03374498 -0.02000629 ... -0.05371552  0.02695309
  0.02095954]"
"1943f245ee4243bdbfbd2fd619ae824a","BELLE","PERSON","""BELLE is a character in A Christmas Carol, known as a comely matron and an old sweetheart of Scrooge's. She is also the wife of a man who knows Scrooge and mentions him in conversation.""",20,"",['ae4387f9ec8ef5335c4fbf6fd3f7d9b4' 'f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.02026889 -0.00971581 -0.0171175  ... -0.01455918  0.03881673
 -0.00288538]"
"273daeec8cad41e6b3e450447db58ee7","CAROLINE","PERSON","""Caroline is a character in A Christmas Carol, and the wife of one of Scrooge's debtors. She is a woman who feels a mix of hope and relief upon hearing about the death of a merciless creditor.""",21,"","['31162003185eeb0ce0f4b4f2031e01c7' '5e7ec9ebf31abc571127892d260fbe42'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.04329731  0.02548276  0.00252051 ... -0.00547061  0.05026416
 -0.00018374]"
"e69dc259edb944ea9ea41264b9fcfe59","MRS. CRATCHIT","PERSON","""Mrs. Cratchit is a character in A Christmas Carol and the wife of Bob Cratchit. She holds a negative opinion of Scrooge and is engaged in sewing and caring for her family. Despite their limited means, she is resourceful and makes the best of what they have. She is described as being dressed out but poorly, often wearing a twice-turned gown. Mrs. Cratchit is actively involved in preparing the family meal, including making the gravy and pudding for the family dinner. She also speaks about her children, Peter and Tiny Tim, highlighting her role as a dedicated and loving mother within the Cratchit family.""",22,"","['2c2dc4d6383dc21e5c198e42cbb99426' '31162003185eeb0ce0f4b4f2031e01c7'
 '49d69adfdaf6f3f17e1e03fc4c6f561f' '5c23d6ea344fb1e7d1da42af94e77372'
 'd4e73f42abc059b1a9108741c4d88216' 'db82f001863c7ecf263a682718181aba'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.02582596  0.03107788 -0.01044361 ... -0.02630779  0.00799834
  0.02606687]"
"e2f5735c7d714423a2c4f61ca2644626","BELINDA CRATCHIT","PERSON","Belinda Cratchit is a character in A Christmas Carol and the second daughter of Bob and Mrs. Cratchit. She assists her mother with household chores and is described as being brave in ribbons.",23,"",['5c23d6ea344fb1e7d1da42af94e77372' 'f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.02888395  0.02607362 -0.00790684 ... -0.02402163  0.01963886
  0.02370937]"
"deece7e64b2a4628850d4bb6e394a9c3","MARTHA CRATCHIT","PERSON","""Martha Cratchit is a character in A Christmas Carol and the eldest daughter of Bob and Mrs. Cratchit. She works as an apprentice at a milliner's, which often causes her to arrive late to family gatherings. Despite her busy schedule, she is warmly welcomed by her family, reflecting the close-knit and loving nature of the Cratchit household.""",24,"","['5c23d6ea344fb1e7d1da42af94e77372' 'd4e73f42abc059b1a9108741c4d88216'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.02904247  0.05182401 -0.02600341 ... -0.01758315  0.02554641
  0.03964491]"
"e657b5121ff8456b9a610cfaead8e0cb","MRS. DILBER","PERSON","""Mrs. Dilber is a character in A Christmas Carol, known as a laundress. She is a woman who brought items to Joe for appraisal and sale, and she enters Old Joe's shop with a heavy bundle.""",25,"","['41d84d1d139c9c96c200cd2e537dcd0e' 'a50b8481d67f48139b84139edc701a3c'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.04120196  0.02680671 -0.06399021 ... -0.03759043  0.01227157
 -0.00702595]"
"bf4e255cdac94ccc83a56435a5e4b075","FAN","PERSON","""Fan is a character in A Christmas Carol, and the younger sister of Scrooge. She is known for bringing Scrooge home from school.""",26,"",['94a3a88e86bbbaa5704fa5cbcc1dd498' 'f80de7a23de0088b7dbc1aa1a09e2d6e'],"[-0.0086114  -0.00700548 -0.02227693 ... -0.01947716  0.06210391
  0.03483346]"
"3b040bcc19f14e04880ae52881a89c1c","MRS. FEZZIWIG","PERSON","""Mrs. Fezziwig is a character in A Christmas Carol, known for being the worthy partner and wife of Old Fezziwig. She is equally enthusiastic and skilled at dancing, often participating in the festivities with a substantial smile. Mrs. Fezziwig is celebrated for her joyful spirit and her role in dancing alongside Old Fezziwig, contributing to the lively and cheerful atmosphere.""",27,"","['830dc983cda4e0f65be2cd7bda53af2d' '913ae1c38936586e72223ab050f55270'
 'a5542daff1f84544382712afa48d5013' 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.06232003  0.01369887 -0.0455167  ... -0.02899035  0.03039833
  0.00175275]"
"3d6b216c14354332b1bf1927ba168986","JANET BLENKINSHIP","PERSON","Janet Blenkinship is one of the producers of the Project Gutenberg eBook of A Christmas Carol",28,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.0087276  -0.01719416  0.02378809 ... -0.04803016  0.04324076
  0.00484047]"
"1c109cfdc370463eb6d537e5b7b382fb","ONLINE DISTRIBUTED PROOFREADING TEAM","ORGANIZATION","The Online Distributed Proofreading Team is an organization that helped produce the Project Gutenberg eBook of A Christmas Carol",29,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.02973833  0.01301976 -0.01064021 ... -0.03067536  0.04024291
 -0.00803872]"
"3d0dcbc8971b415ea18065edc4d8c8ef","UNITED STATES","GEO","""The United States is a country where the Project Gutenberg eBook of A Christmas Carol is available for use without restrictions. It is also mentioned in the context of a financial security. Additionally, the United States is the country where the Project Gutenberg Literary Archive Foundation operates and complies with laws regulating charities and charitable donations in all 50 states.""",30,"","['2a1c4af9f9c41823c64e689c2b4b45e9' '38853a19a9f53b37c6dec725d881647b'
 'bfd1f26b372f645db46a2f726cc2145a' 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[-0.00784449  0.00476567  0.02312127 ... -0.01480116  0.01240406
  0.01721095]"
"68105770b523412388424d984e711917","GHOST OF AN IDEA","EVENT","The Ghost of an Idea is a concept mentioned by Charles Dickens in the preface of A Christmas Carol",31,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.02403348  0.01578459 -0.02088464 ... -0.01944478  0.0251773
 -0.00581661]"
"85c79fd84f5e4f918471c386852204c5","SUZANNE SHELL","","",32,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.00833782  0.00920605 -0.02418655 ... -0.01863261  0.00305605
 -0.01216218]"
"eae4259b19a741ab9f9f6af18c4a0470","FEZZIWIG","PERSON","""FEZZIWIG is an old gentleman who was Scrooge's employer during his apprenticeship. He is an older man who is enthusiastic and skilled at dancing, often hosting domestic balls and spreading cheer. Old Fezziwig is a character who danced with Mrs. Fezziwig and is known for his jovial and benevolent nature. He runs a business and is particularly recognized for his lively and generous spirit, especially during Christmas Eve celebrations.""",33,"","['830dc983cda4e0f65be2cd7bda53af2d' '913ae1c38936586e72223ab050f55270'
 '94a3a88e86bbbaa5704fa5cbcc1dd498' 'a5542daff1f84544382712afa48d5013']","[ 0.01624296  0.00639914 -0.03558612 ... -0.03412876  0.02190017
 -0.00166272]"
"3138f39f2bcd43a69e0697cd3b05bc4d","SCROOGE","PERSON","""Scrooge is the central character and protagonist of the narrative, known for his miserly, solitary, and cynical nature, particularly his disdain for Christmas and his unsympathetic attitude towards the poor and destitute. He is described as a tight-fisted, grasping, covetous old sinner, hard and sharp as flint, with a cold demeanor and a disdain for human sympathy. Scrooge is the surviving partner of Marley and is approached by gentlemen asking for charity during the festive season, to which he responds with his characteristic grumpiness and strictness.

Throughout the story, Scrooge experiences a series of supernatural events and ghostly visitations that lead him to reflect on his past, present, and future. He is guided by various spirits, including the Ghost of Christmas Past, the Ghost of Christmas Yet to Come, and a Phantom, who show him scenes from his life and the lives of others, such as the Cratchit household and the impact of Fezziwig's kindness. These experiences cause Scrooge to question the actions and intentions of the spirits and reflect on his own life choices, particularly his pursuit of wealth and its impact on his relationships.

Scrooge's journey includes interactions with the spirits where he learns valuable lessons, feels anxious and powerless, and shows concern for Tiny Tim's future. He is deeply affected by the scenes he witnesses, including a dark room with a dead man's body and the actions of Joe and others. These reflections and supernatural encounters lead to a significant transformation in Scrooge's character. He becomes generous and kind-hearted, especially towards Bob Cratchit and Tiny Tim, and experiences a change of heart, ultimately becoming a man who embraces the spirit of Christmas and human sympathy.

In summary, Scrooge's character arc takes him from a miserly, solitary old man to a generous and kind-hearted individual, profoundly changed by the ghostly visitations and the reflections they provoke.""",34,"","['049179e7a263fe875bc7d96cb467d2df' '166b41d31c21bdff77c782c019c33814'
 '2c2dc4d6383dc21e5c198e42cbb99426' '30833fc310ef3fbce4288ad1e15e9193'
 '31162003185eeb0ce0f4b4f2031e01c7' '38cde9f8e64c2069b4b5b319dbf349e9'
 '40faadc22320d6ac6e106fb8d904394c' '4148da19c3e2b758b5e76aaf8a87d55f'
 '41d84d1d139c9c96c200cd2e537dcd0e' '45b24611b322e5db19f24f40131624e6'
 '49d69adfdaf6f3f17e1e03fc4c6f561f' '5e7ec9ebf31abc571127892d260fbe42'
 '6241708a162f42e9a6df0486b17dfc40' '82c0a321727c344d224f3b8eecb7414f'
 '830dc983cda4e0f65be2cd7bda53af2d' '83efb547e8ff9bcf56847063451bcf45'
 '94a3a88e86bbbaa5704fa5cbcc1dd498' 'a50b8481d67f48139b84139edc701a3c'
 'a5542daff1f84544382712afa48d5013' 'a5a36092f82dc70e6af7cc096f793c31'
 'a83e26f5f58a85755eed5289ff000057' 'ae4387f9ec8ef5335c4fbf6fd3f7d9b4'
 'b9bf87a171faa989022625f59a0d6cab' 'bfd1f26b372f645db46a2f726cc2145a'
 'c5d03b00e276c74a61703fc395d9986e' 'c71d3978e7161b729eb972b930f85473'
 'cfc969724972c8e235a12683cada1e5e' 'd1ffbd0a1d292732b8530b80890ce309'
 'd32b4992f5d1dcf627250d5809f6d78e' 'd4e73f42abc059b1a9108741c4d88216'
 'db82f001863c7ecf263a682718181aba' 'dc9abd3c09252239677d8ac5dbbc455d'
 'e1c29aeda4d9b63f6e9026ca40c75eef' 'e92f3fa91714308781a63c896cfeb313'
 'f1ddf18dc8103b0c139acec85361f1c5']","[-0.00651999  0.02595554 -0.02186188 ... -0.03088286  0.03329675
  0.03374469]"
"dde131ab575d44dbb55289a6972be18f","MARLEY","PERSON","""Marley is Scrooge's deceased business partner, who has been dead for seven years. In life, Marley was Scrooge's partner, and his face appears vividly in Scrooge's memory, even manifesting on the knocker of Scrooge's door. As a ghost, Marley appears to Scrooge, bound by a chain made of cash-boxes, keys, padlocks, ledgers, deeds, and heavy purses, symbolizing the burdens he carries from his earthly life.""",35,"","['166b41d31c21bdff77c782c019c33814' '38cde9f8e64c2069b4b5b319dbf349e9'
 '6241708a162f42e9a6df0486b17dfc40' '830dc983cda4e0f65be2cd7bda53af2d'
 'a5a36092f82dc70e6af7cc096f793c31' 'a83e26f5f58a85755eed5289ff000057']","[-0.00927544  0.03037214 -0.04210453 ... -0.03392741 -0.00227918
  0.03717794]"
"de9e343f2e334d88a8ac7f8813a915e5","ST. PAUL'S CHURCHYARD","GEO","St. Paul's Churchyard is a location mentioned as a breezy spot",36,"",['830dc983cda4e0f65be2cd7bda53af2d'],"[ 0.01091465  0.00879011 -0.01033692 ... -0.03322227  0.04793251
  0.01519478]"
"e2bf260115514fb3b252fd879fb3e7be","TIM","PERSON","Tim is a character mentioned in relation to a blood-horse",37,"",['830dc983cda4e0f65be2cd7bda53af2d'],"[-0.01239427  0.01797025 -0.03646054 ...  0.00646438  0.02029598
  0.03868515]"
"b462b94ce47a4b8c8fffa33f7242acec","MARLEY'S GHOST","EVENT","""Marley's Ghost is a supernatural entity and the apparition of Jacob Marley. This ghostly figure appears to Ebenezer Scrooge, causing him great fear and disbelief. Marley's Ghost serves a crucial role by warning Scrooge about his impending fate and the forthcoming visits from three spirits. The event of Marley's Ghost appearing occurs when the bell tolls one, marking the beginning of Scrooge's transformative journey.""",38,"","['830dc983cda4e0f65be2cd7bda53af2d' '83efb547e8ff9bcf56847063451bcf45'
 'a83e26f5f58a85755eed5289ff000057' 'bfd1f26b372f645db46a2f726cc2145a']","[ 0.00627775  0.01171807 -0.03925705 ... -0.02396632 -0.00891055
  0.0467036 ]"
"17ed1d92075643579a712cc6c29e8ddb","SCROOGE'S NEPHEW","PERSON","""Scrooge's Nephew is a cheerful and warm-hearted character who visits Scrooge on Christmas Eve. He is known for his good-natured demeanor and his efforts to include Scrooge in Christmas celebrations. Scrooge's Nephew often laughs heartily and speaks about Scrooge's attitude towards Christmas, highlighting his own contrasting positive outlook on the holiday.""",39,"","['82c0a321727c344d224f3b8eecb7414f' 'dc9abd3c09252239677d8ac5dbbc455d'
 'e1c29aeda4d9b63f6e9026ca40c75eef']","[-0.00449103  0.02109898 -0.03112805 ... -0.05334137  0.04616551
  0.01803761]"
"3ce7c210a21b4deebad7cc9308148d86","COUNTING-HOUSE","ORGANIZATION","""The COUNTING-HOUSE is the office where Scrooge and Bob Cratchit work. It is characterized by its cold and bleak environment, reflecting the austere and frugal nature of its primary occupant, Scrooge.""",40,"",['6241708a162f42e9a6df0486b17dfc40' 'dc9abd3c09252239677d8ac5dbbc455d'],"[-0.00019913  0.01711504  0.05011081 ... -0.06520259  0.00886928
  0.04237404]"
"d64ed762ea924caa95c8d06f072a9a96","CHRISTMAS EVE","EVENT","""Christmas Eve is the day before Christmas, marked by various significant events and celebrations. It is celebrated by Bob Cratchit and the boys on Cornhill. Additionally, it is the occasion during which Fezziwig hosts a grand celebration filled with dancing, food, and merriment. On this day, Scrooge's nephew visits him at his counting-house. Christmas Eve is also the night on which the events in the text take place, making it a pivotal moment in the narrative.""",41,"","['6241708a162f42e9a6df0486b17dfc40' '913ae1c38936586e72223ab050f55270'
 'a5a36092f82dc70e6af7cc096f793c31' 'dc9abd3c09252239677d8ac5dbbc455d']","[ 0.02123631  0.01525111 -0.00522971 ... -0.02549298  0.04491844
  0.01141187]"
"adf4ee3fbe9b4d0381044838c4f889c8","CLERK","PERSON","""The CLERK is an employee of Scrooge, earning fifteen shillings a week and supporting a wife and family. He works in a dismal little cell beyond Scrooge's office, often trying to warm himself at a candle. After reflecting on Fezziwig's positive impact, Scrooge wishes to speak kindly to his clerk.""",42,"","['38cde9f8e64c2069b4b5b319dbf349e9' 'a5542daff1f84544382712afa48d5013'
 'dc9abd3c09252239677d8ac5dbbc455d']","[-0.00364938  0.04403401 -0.01537568 ... -0.06279073  0.01972273
  0.02577372]"
"32ee140946e5461f9275db664dc541a5","CITY","GEO","""The City is a bustling area characterized by its busy streets and shops, especially during Christmas-time. It is a central hub where merchants and business people gather, and it is also the location of Scrooge's counting-house, which is known for its foggy and cold weather. This city is not only where Scrooge's business friends are located but also where he lives and eventually becomes known as a good man. Additionally, it is the place where Scrooge and the Phantom find themselves surrounded by merchants.""",43,"","['30833fc310ef3fbce4288ad1e15e9193' '4148da19c3e2b758b5e76aaf8a87d55f'
 '45b24611b322e5db19f24f40131624e6' '94a3a88e86bbbaa5704fa5cbcc1dd498'
 'd32b4992f5d1dcf627250d5809f6d78e' 'dc9abd3c09252239677d8ac5dbbc455d']","[-0.00612921 -0.01651236  0.018224   ... -0.05265831  0.02507059
  0.03589424]"
"c160b9cb27d6408ba6ab20214a2f3f81","CHRISTMAS","EVENT","""CHRISTMAS is a festive season that is central to the story and the characters' interactions. It is the holiday being celebrated by various characters in the text, including Scrooge's nephew and others, despite Scrooge himself despising it and considering it a humbug. The events and reflections of Scrooge take place during this holiday, which is marked by festive activities and decorations. Significant events, such as the domestic ball hosted by Fezziwig and Mrs. Fezziwig, who wished everyone a Merry Christmas, also occur during this time. Additionally, the Cratchit household's activities and celebrations are set against the backdrop of the Christmas season. Overall, Christmas is the holiday during which many of the key events in the story unfold.""",44,"","['166b41d31c21bdff77c782c019c33814' '31162003185eeb0ce0f4b4f2031e01c7'
 '38cde9f8e64c2069b4b5b319dbf349e9' '94a3a88e86bbbaa5704fa5cbcc1dd498'
 'a5542daff1f84544382712afa48d5013' 'ae4387f9ec8ef5335c4fbf6fd3f7d9b4'
 'cfc969724972c8e235a12683cada1e5e' 'd32b4992f5d1dcf627250d5809f6d78e'
 'dc9abd3c09252239677d8ac5dbbc455d' 'e1c29aeda4d9b63f6e9026ca40c75eef'
 'e92f3fa91714308781a63c896cfeb313' 'f1ddf18dc8103b0c139acec85361f1c5']","[-0.00151164  0.0306236   0.01272535 ... -0.00771912  0.03947501
  0.04037165]"
"23527cd679ff4d5a988d52e7cd056078","NEPHEW","PERSON","NEPHEW is Scrooge's nephew who believes in the goodness of Christmas and tries to invite Scrooge to dine with him.",45,"",['38cde9f8e64c2069b4b5b319dbf349e9' '94a3a88e86bbbaa5704fa5cbcc1dd498'],"[-0.04765676 -0.00836884 -0.0087542  ... -0.0390246   0.04236442
 -0.02203001]"
"f1c6eed066f24cbdb376b910fce29ed4","PORTLY GENTLEMEN","PERSON","Two gentlemen who visit Scrooge's office to seek donations for charity",46,"",['38cde9f8e64c2069b4b5b319dbf349e9'],"[-0.01131367  0.00969956 -0.04241505 ... -0.04668943  0.04755626
  0.04920026]"
